角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,155.55,266.57,155.55,266.57,424.75
1,178.52,266.82,178.52,266.82,432.75
2,200.65,266.97,200.65,266.97,440.25
3,222.11,267.04,222.11,267.04,447.00
4,242.77,267.25,242.77,267.25,454.50
5,262.96,267.43,262.96,267.43,461.75
6,282.44,267.53,282.44,267.53,468.75
7,301.30,267.61,301.30,267.61,476.00
8,319.54,267.69,319.54,267.69,484.75
9,337.30,267.87,337.30,267.87,490.75
10,354.47,268.05,354.47,268.05,498.00
11,154.73,288.27,154.73,288.27,426.75
12,177.60,287.87,177.60,287.87,434.75
13,199.71,287.70,199.71,287.70,441.75
14,221.04,287.58,221.04,287.58,448.50
15,241.71,287.43,241.71,287.43,456.50
16,261.80,287.22,261.80,287.22,464.00
17,281.29,286.97,281.29,286.97,471.50
18,300.07,286.78,300.07,286.78,478.25
19,318.29,286.65,318.29,286.65,486.00
20,335.90,286.55,335.90,286.55,493.25
21,353.07,286.46,353.07,286.46,500.75
22,154.00,309.53,154.00,309.53,429.00
23,176.83,308.90,176.83,308.90,436.25
24,198.81,308.42,198.81,308.42,444.00
25,220.23,307.81,220.23,307.81,450.25
26,240.74,307.46,240.74,307.46,458.75
27,260.66,307.03,260.66,307.03,465.50
28,280.11,306.44,280.11,306.44,473.25
29,298.78,305.92,298.78,305.92,480.00
30,316.96,305.53,316.96,305.53,488.00
31,334.57,305.02,334.57,305.02,495.50
32,351.68,304.65,351.68,304.65,502.50
33,153.32,330.66,153.32,330.66,430.50
34,176.16,329.70,176.16,329.70,438.50
35,197.90,328.99,197.90,328.99,445.00
36,219.22,328.10,219.22,328.10,453.75
37,239.75,327.21,239.75,327.21,460.75
38,259.60,326.42,259.60,326.42,468.00
39,278.88,325.59,278.88,325.59,475.25
40,297.58,324.95,297.58,324.95,482.50
41,315.66,324.25,315.66,324.25,489.25
42,333.28,323.47,333.28,323.47,497.00
43,350.33,322.80,350.33,322.80,504.25
44,152.59,351.70,152.59,351.70,433.25
45,175.32,350.47,175.32,350.47,439.75
46,197.20,349.20,197.20,349.20,447.75
47,218.28,348.08,218.28,348.08,454.25
48,238.66,346.86,238.66,346.86,463.00
49,258.51,345.70,258.51,345.70,469.50
50,277.70,344.73,277.70,344.73,476.50
51,296.38,343.67,296.38,343.67,484.25
52,314.47,342.62,314.47,342.62,492.00
53,331.92,341.64,331.92,341.64,499.50
54,348.99,340.67,348.99,340.67,506.00
55,151.92,372.46,151.92,372.46,434.50
56,174.52,370.87,174.52,370.87,442.00
57,196.25,369.39,196.25,369.39,448.50
58,217.29,367.76,217.29,367.76,457.25
59,237.69,366.35,237.69,366.35,464.50
60,257.45,364.96,257.45,364.96,471.50
61,276.57,363.61,276.57,363.61,479.00
62,295.20,362.28,295.20,362.28,486.50
63,313.26,360.99,313.26,360.99,493.50
64,330.62,359.72,330.62,359.72,501.50
65,347.60,358.56,347.60,358.56,507.25
66,151.38,393.18,151.38,393.18,436.25
67,173.73,391.15,173.73,391.15,444.00
68,195.38,389.26,195.38,389.26,451.00
69,216.44,387.41,216.44,387.41,458.50
70,236.66,385.65,236.66,385.65,467.25
71,256.45,383.97,256.45,383.97,473.00
72,275.46,382.36,275.46,382.36,481.00
73,293.91,380.72,293.91,380.72,488.50
74,311.97,379.23,311.97,379.23,496.25
75,329.36,377.68,329.36,377.68,502.25
76,346.38,376.25,346.38,376.25,510.00
77,150.51,413.57,150.51,413.57,438.25
78,172.98,411.26,172.98,411.26,446.50
79,194.47,409.06,194.47,409.06,453.25
80,215.49,406.92,215.49,406.92,460.50
81,235.68,404.82,235.68,404.82,467.75
82,255.31,402.82,255.31,402.82,475.00
83,274.32,400.96,274.32,400.96,483.25
84,292.73,399.06,292.73,399.06,489.75
85,310.70,397.30,310.70,397.30,497.50
86,328.10,395.47,328.10,395.47,505.00
87,344.98,393.77,344.98,393.77,511.75
